,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,"b'173378.31734,'","b'3,'","b'0.273,'","b'-0.488,'","b'9.984,'","b'4,'","b'-0.001,'","b'-0.001,'","b'-0.000,'","b'5,'","b'16.563,'","b'1.563,-47.250,'","b'86,'",b'32',,,,,,,,,,,,,,,,
0,"b'173378.31886,'","b'3,'","b'0.268,'","b'-0.498,'","b'9.988,'","b'4,'","b'-0.001,'","b'-0.001,'","b'-0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.32046,'","b'3,'","b'0.276,'","b'-0.493,'","b'9.994,'","b'4,'","b'-0.000,'","b'-0.001,'","b'-0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.32241,'","b'3,'","b'0.273,'","b'-0.493,'","b'9.979,'","b'4,'","b'0.000,'","b'-0.001,'","b'-0.001,'","b'81,'","b'268.460,'","b'2.750,'","b'1.550,'","b'84,'","b'-0.007,'","b'-0.027,'","b'0.716,'","b'86,'",b'32',,,,,,,,,,,
0,"b'173378.32453,'","b'3,'","b'0.270,'","b'-0.490,'","b'9.970,'","b'4,'","b'-0.001,'","b'-0.000,'","b'-0.000,'","b'82,'","b'-0.001,'","b'0.001,'","b'0.182,'","b'83,'","b'0.266,'","b'-0.472,'","b'9.792,'","b'86,'",b'32',,,,,,,,,,,
0,"b'173378.32734,'","b'3,'","b'0.268,'","b'-0.491,'","b'9.975,'","b'4,'","b'-0.001,'","b'0.000,'","b'-0.000,'","b'5,'","b'16.500,'","b'1.375,-47.375,'","b'86,'",b'32',,,,,,,,,,,,,,,,
0,"b'173378.32888,'","b'3,'","b'0.274,'","b'-0.497,'","b'9.981,'","b'4,'","b'-0.001,'","b'0.001,'","b'-0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.33048,'","b'3,'","b'0.277,'","b'-0.496,'","b'9.977,'","b'4,'","b'-0.002,'","b'0.000,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.33241,'","b'3,'","b'0.275,'","b'-0.494,'","b'9.978,'","b'4,'","b'-0.002,'","b'-0.001,'","b'0.000,'","b'81,'","b'268.460,'","b'2.750,'","b'1.550,'","b'84,'","b'-0.007,'","b'-0.027,'","b'0.716,'","b'86,'",b'32',,,,,,,,,,,
0,"b'173378.33450,'","b'3,'","b'0.278,'","b'-0.493,'","b'9.976,'","b'4,'","b'-0.000,'","b'-0.001,'","b'0.000,'","b'82,'","b'-0.001,'","b'-0.008,'","b'0.172,'","b'83,'","b'0.266,'","b'-0.472,'","b'9.792,'","b'86,'",b'32',,,,,,,,,,,
0,"b'173378.33734,'","b'3,'","b'0.278,'","b'-0.491,'","b'9.979,'","b'4,'","b'-0.000,'","b'-0.001,'","b'0.000,'","b'5,'","b'16.688,'","b'1.500,-47.313,'","b'86,'",b'32',,,,,,,,,,,,,,,,
0,"b'173378.33947,'","b'3,'","b'0.277,'","b'-0.488,'","b'9.989,'","b'4,'","b'-0.001,'","b'0.000,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.34143,'","b'3,'","b'0.276,'","b'-0.489,'","b'9.993,'","b'4,'","b'-0.001,'","b'0.001,'","b'-0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.34279,'","b'3,'","b'0.272,'","b'-0.489,'","b'9.977,'","b'4,'","b'-0.001,'","b'0.000,'","b'-0.000,'","b'81,'","b'268.460,'","b'2.750,'","b'1.550,'","b'82,'","b'0.009,'","b'-0.009,'","b'0.172,'","b'83,'","b'0.266,'","b'-0.472,'","b'9.792,'","b'84,'","b'-0.007,'","b'-0.027,'","b'0.716,'","b'86,'",b'32',,,
0,"b'173378.34445,'","b'3,'","b'0.273,'","b'-0.491,'","b'9.978,'","b'4,'","b'-0.002,'","b'0.000,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.34734,'","b'3,'","b'0.276,'","b'-0.496,'","b'9.978,'","b'4,'","b'-0.002,'","b'-0.000,'","b'0.000,'","b'5,'","b'16.500,'","b'1.500,-47.375,'","b'86,'",b'32',,,,,,,,,,,,,,,,
0,"b'173378.34934,'","b'3,'","b'0.278,'","b'-0.497,'","b'9.981,'","b'4,'","b'-0.002,'","b'-0.000,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.35073,'","b'3,'","b'0.265,'","b'-0.497,'","b'9.982,'","b'4,'","b'-0.002,'","b'0.000,'","b'0.001,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.35238,'","b'3,'","b'0.268,'","b'-0.494,'","b'9.980,'","b'4,'","b'-0.001,'","b'0.000,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.35437,'","b'3,'","b'0.266,'","b'-0.489,'","b'9.977,'","b'4,'","b'-0.001,'","b'0.000,'","b'-0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.35734,'","b'3,'","b'0.272,'","b'-0.484,'","b'9.968,'","b'4,'","b'-0.000,'","b'0.001,'","b'-0.000,'","b'5,'","b'16.438,'","b'1.188,-47.563,'","b'86,'",b'32',,,,,,,,,,,,,,,,
0,"b'173378.35935,'","b'3,'","b'0.282,'","b'-0.481,'","b'9.972,'","b'4,'","b'-0.001,'","b'0.001,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.36061,'","b'3,'","b'0.281,'","b'-0.482,'","b'9.966,'","b'4,'","b'-0.002,'","b'0.001,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.36240,'","b'3,'","b'0.270,'","b'-0.489,'","b'9.971,'","b'4,'","b'-0.001,'","b'0.000,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.36437,'","b'3,'","b'0.271,'","b'-0.496,'","b'9.982,'","b'4,'","b'-0.000,'","b'0.000,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.36734,'","b'3,'","b'0.266,'","b'-0.505,'","b'9.984,'","b'4,'","b'0.000,'","b'-0.000,'","b'0.000,'","b'5,'","b'16.500,'","b'0.938,-47.500,'","b'86,'",b'32',,,,,,,,,,,,,,,,
0,"b'173378.36935,'","b'3,'","b'0.278,'","b'-0.495,'","b'9.980,'","b'4,'","b'0.000,'","b'0.000,'","b'-0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.37061,'","b'3,'","b'0.278,'","b'-0.497,'","b'9.988,'","b'4,'","b'-0.001,'","b'0.000,'","b'-0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.37240,'","b'3,'","b'0.282,'","b'-0.501,'","b'9.997,'","b'4,'","b'-0.001,'","b'-0.000,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.37438,'","b'3,'","b'0.289,'","b'-0.504,'","b'9.996,'","b'4,'","b'-0.000,'","b'-0.001,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.37734,'","b'3,'","b'0.292,'","b'-0.505,'","b'9.997,'","b'4,'","b'-0.000,'","b'-0.000,'","b'-0.000,'","b'5,'","b'16.188,'","b'0.750,-47.375,'","b'86,'",b'32',,,,,,,,,,,,,,,,
0,"b'173378.37935,'","b'3,'","b'0.292,'","b'-0.505,'","b'9.991,'","b'4,'","b'0.000,'","b'-0.000,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.38060,'","b'3,'","b'0.288,'","b'-0.506,'","b'9.982,'","b'4,'","b'-0.001,'","b'0.000,'","b'-0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.38240,'","b'3,'","b'0.287,'","b'-0.503,'","b'9.981,'","b'4,'","b'-0.001,'","b'0.001,'","b'-0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.38437,'","b'3,'","b'0.283,'","b'-0.502,'","b'9.976,'","b'4,'","b'-0.000,'","b'0.001,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.38734,'","b'3,'","b'0.279,'","b'-0.506,'","b'9.976,'","b'4,'","b'-0.000,'","b'0.001,'","b'0.000,'","b'5,'","b'16.313,'","b'0.750,-47.438,'","b'86,'",b'32',,,,,,,,,,,,,,,,
0,"b'173378.38935,'","b'3,'","b'0.275,'","b'-0.512,'","b'9.983,'","b'4,'","b'-0.001,'","b'0.001,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.39060,'","b'3,'","b'0.279,'","b'-0.510,'","b'9.973,'","b'4,'","b'-0.000,'","b'0.000,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.39242,'","b'3,'","b'0.285,'","b'-0.505,'","b'9.972,'","b'4,'","b'0.000,'","b'0.000,'","b'0.001,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.39451,'","b'3,'","b'0.281,'","b'-0.499,'","b'9.979,'","b'4,'","b'-0.001,'","b'0.000,'","b'0.001,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.39734,'","b'3,'","b'0.287,'","b'-0.493,'","b'9.973,'","b'4,'","b'-0.001,'","b'0.000,'","b'0.000,'","b'5,'","b'16.250,'","b'0.875,-47.563,'","b'81,'","b'268.460,'","b'2.750,'","b'1.550,'","b'82,'","b'0.009,'","b'-0.018,'","b'0.172,'","b'83,'","b'0.266,'","b'-0.472,'","b'9.792,'","b'84,'","b'-0.007,'","b'-0.027,'","b'0.716,'","b'86,'",b'32'
0,"b'173378.39889,'","b'3,'","b'0.292,'","b'-0.488,'","b'9.970,'","b'4,'","b'-0.000,'","b'-0.000,'","b'-0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.40049,'","b'3,'","b'0.291,'","b'-0.484,'","b'9.982,'","b'4,'","b'0.001,'","b'-0.001,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.40243,'","b'3,'","b'0.286,'","b'-0.486,'","b'9.983,'","b'4,'","b'0.001,'","b'-0.001,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.40450,'","b'3,'","b'0.280,'","b'-0.493,'","b'9.975,'","b'4,'","b'0.000,'","b'-0.000,'","b'0.000,'","b'81,'","b'268.460,'","b'2.750,'","b'1.550,'","b'82,'","b'0.009,'","b'-0.008,'","b'0.172,'","b'83,'","b'0.266,'","b'-0.472,'","b'9.792,'","b'84,'","b'-0.007,'","b'-0.027,'","b'0.716,'","b'86,'",b'32',,,
0,"b'173378.40734,'","b'3,'","b'0.276,'","b'-0.492,'","b'9.980,'","b'4,'","b'-0.001,'","b'0.001,'","b'-0.000,'","b'5,'","b'16.000,'","b'0.875,-47.813,'","b'86,'",b'32',,,,,,,,,,,,,,,,
0,"b'173378.40886,'","b'3,'","b'0.282,'","b'-0.486,'","b'9.978,'","b'4,'","b'-0.001,'","b'0.002,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.41046,'","b'3,'","b'0.270,'","b'-0.494,'","b'9.969,'","b'4,'","b'-0.001,'","b'0.003,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.41241,'","b'3,'","b'0.265,'","b'-0.492,'","b'9.971,'","b'4,'","b'-0.001,'","b'0.002,'","b'-0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.41454,'","b'3,'","b'0.273,'","b'-0.482,'","b'9.974,'","b'4,'","b'-0.002,'","b'0.001,'","b'-0.000,'","b'81,'","b'268.460,'","b'2.750,'","b'1.550,'","b'82,'","b'-0.001,'","b'-0.009,'","b'0.182,'","b'83,'","b'0.266,'","b'-0.472,'","b'9.792,'","b'84,'","b'-0.007,'","b'-0.027,'","b'0.716,'","b'86,'",b'32',,,
0,"b'173378.41734,'","b'3,'","b'0.273,'","b'-0.477,'","b'9.972,'","b'4,'","b'-0.002,'","b'-0.000,'","b'-0.000,'","b'5,'","b'15.875,'","b'1.063,-47.938,'","b'86,'",b'32',,,,,,,,,,,,,,,,
0,"b'173378.41934,'","b'3,'","b'0.290,'","b'-0.474,'","b'9.973,'","b'4,'","b'-0.002,'","b'-0.000,'","b'-0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.42134,'","b'3,'","b'0.294,'","b'-0.487,'","b'9.974,'","b'4,'","b'-0.001,'","b'-0.001,'","b'0.000,'","b'81,'","b'268.460,'","b'2.750,'","b'1.550,'","b'82,'","b'-0.001,'","b'0.011,'","b'0.172,'","b'84,'","b'-0.007,'","b'-0.027,'","b'0.716,'","b'86,'",b'32',,,,,,,
0,"b'173378.42266,'","b'3,'","b'0.283,'","b'-0.491,'","b'9.971,'","b'4,'","b'-0.000,'","b'-0.001,'","b'0.000,'","b'83,'","b'0.265,'","b'-0.472,'","b'9.792,'","b'86,'",b'32',,,,,,,,,,,,,,,
0,"b'173378.42437,'","b'3,'","b'0.276,'","b'-0.486,'","b'9.977,'","b'4,'","b'-0.000,'","b'-0.000,'","b'-0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.42734,'","b'3,'","b'0.275,'","b'-0.480,'","b'9.973,'","b'4,'","b'-0.001,'","b'0.000,'","b'0.000,'","b'5,'","b'16.000,'","b'0.938,-48.063,'","b'86,'",b'32',,,,,,,,,,,,,,,,
0,"b'173378.42887,'","b'3,'","b'0.272,'","b'-0.476,'","b'9.975,'","b'4,'","b'-0.001,'","b'0.000,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.43047,'","b'3,'","b'0.282,'","b'-0.485,'","b'9.982,'","b'4,'","b'-0.001,'","b'0.000,'","b'0.001,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.43254,'","b'3,'","b'0.281,'","b'-0.489,'","b'9.987,'","b'4,'","b'-0.001,'","b'0.000,'","b'0.001,'","b'81,'","b'268.470,'","b'2.750,'","b'1.550,'","b'82,'","b'-0.001,'","b'0.001,'","b'0.172,'","b'83,'","b'0.265,'","b'-0.472,'","b'9.792,'","b'84,'","b'-0.007,'","b'-0.027,'","b'0.716,'","b'86,'",b'32',,,
0,"b'173378.43442,'","b'3,'","b'0.277,'","b'-0.494,'","b'9.990,'","b'4,'","b'-0.001,'","b'0.001,'","b'0.001,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.43734,'","b'3,'","b'0.275,'","b'-0.503,'","b'9.990,'","b'4,'","b'-0.000,'","b'0.001,'","b'0.000,'","b'5,'","b'15.875,'","b'1.000,-48.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,
0,"b'173378.43885,'","b'3,'","b'0.279,'","b'-0.503,'","b'9.983,'","b'4,'","b'-0.000,'","b'0.001,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.44046,'","b'3,'","b'0.278,'","b'-0.494,'","b'9.976,'","b'4,'","b'-0.001,'","b'0.000,'","b'-0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.44255,'","b'3,'","b'0.287,'","b'-0.491,'","b'9.979,'","b'4,'","b'-0.001,'","b'0.000,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.44437,'","b'3,'","b'0.282,'","b'-0.489,'","b'9.989,'","b'4,'","b'-0.001,'","b'0.001,'","b'0.000,'","b'81,'","b'268.460,'","b'2.750,'","b'1.550,'","b'82,'","b'-0.001,'","b'-0.019,'","b'0.191,'","b'83,'","b'0.265,'","b'-0.472,'","b'9.792,'","b'84,'","b'-0.007,'","b'-0.027,'","b'0.716,'","b'86,'",b'32',,,
0,"b'173378.44734,'","b'3,'","b'0.286,'","b'-0.488,'","b'9.991,'","b'4,'","b'-0.000,'","b'0.002,'","b'0.000,'","b'5,'","b'15.938,'","b'1.188,-47.938,'","b'86,'",b'32',,,,,,,,,,,,,,,,
0,"b'173378.44935,'","b'3,'","b'0.288,'","b'-0.495,'","b'9.983,'","b'4,'","b'0.001,'","b'0.002,'","b'-0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.45060,'","b'3,'","b'0.290,'","b'-0.494,'","b'9.973,'","b'4,'","b'0.000,'","b'0.001,'","b'-0.000,'","b'81,'","b'268.470,'","b'2.750,'","b'1.550,'","b'82,'","b'0.009,'","b'0.001,'","b'0.182,'","b'83,'","b'0.265,'","b'-0.471,'","b'9.792,'","b'84,'","b'-0.007,'","b'-0.027,'","b'0.716,'","b'86,'",b'32',,,
0,"b'173378.45239,'","b'3,'","b'0.287,'","b'-0.495,'","b'9.973,'","b'4,'","b'0.000,'","b'0.000,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.45437,'","b'3,'","b'0.282,'","b'-0.495,'","b'9.976,'","b'4,'","b'-0.001,'","b'-0.001,'","b'0.001,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.45735,'","b'3,'","b'0.274,'","b'-0.484,'","b'9.976,'","b'4,'","b'-0.002,'","b'-0.001,'","b'0.000,'","b'5,'","b'16.000,'","b'1.500,-47.813,'","b'86,'",b'32',,,,,,,,,,,,,,,,
0,"b'173378.45934,'","b'3,'","b'0.286,'","b'-0.485,'","b'9.977,'","b'4,'","b'-0.002,'","b'-0.001,'","b'-0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.46070,'","b'3,'","b'0.303,'","b'-0.479,'","b'9.985,'","b'4,'","b'-0.002,'","b'-0.000,'","b'-0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.46237,'","b'3,'","b'0.301,'","b'-0.480,'","b'9.987,'","b'4,'","b'-0.002,'","b'-0.000,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.46444,'","b'3,'","b'0.289,'","b'-0.485,'","b'9.984,'","b'4,'","b'-0.002,'","b'-0.000,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.46734,'","b'3,'","b'0.279,'","b'-0.483,'","b'9.985,'","b'4,'","b'-0.002,'","b'0.000,'","b'-0.000,'","b'5,'","b'16.375,'","b'1.938,-48.063,'","b'86,'",b'32',,,,,,,,,,,,,,,,
0,"b'173378.46935,'","b'3,'","b'0.275,'","b'-0.484,'","b'9.978,'","b'4,'","b'-0.002,'","b'0.001,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.47060,'","b'3,'","b'0.284,'","b'-0.490,'","b'9.985,'","b'4,'","b'-0.003,'","b'0.001,'","b'0.001,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.47242,'","b'3,'","b'0.294,'","b'-0.489,'","b'9.979,'","b'4,'","b'-0.001,'","b'0.000,'","b'0.001,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.47457,'","b'3,'","b'0.293,'","b'-0.488,'","b'9.982,'","b'4,'","b'-0.001,'","b'0.000,'","b'0.001,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.47734,'","b'3,'","b'0.284,'","b'-0.486,'","b'9.981,'","b'4,'","b'-0.001,'","b'0.001,'","b'0.001,'","b'5,'","b'16.375,'","b'2.063,-48.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,
0,"b'173378.47888,'","b'3,'","b'0.281,'","b'-0.484,'","b'9.984,'","b'4,'","b'-0.001,'","b'0.000,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.48048,'","b'3,'","b'0.290,'","b'-0.477,'","b'9.988,'","b'4,'","b'-0.001,'","b'0.000,'","b'-0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.48241,'","b'3,'","b'0.302,'","b'-0.478,'","b'9.989,'","b'4,'","b'-0.001,'","b'0.000,'","b'-0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.48450,'","b'3,'","b'0.308,'","b'-0.483,'","b'9.979,'","b'4,'","b'-0.001,'","b'0.001,'","b'0.001,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.48734,'","b'3,'","b'0.293,'","b'-0.485,'","b'9.991,'","b'4,'","b'-0.001,'","b'0.001,'","b'0.000,'","b'5,'","b'16.188,'","b'2.000,-48.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,
0,"b'173378.48887,'","b'3,'","b'0.285,'","b'-0.485,'","b'9.993,'","b'4,'","b'-0.001,'","b'0.001,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.49048,'","b'3,'","b'0.285,'","b'-0.493,'","b'9.987,'","b'4,'","b'-0.001,'","b'0.001,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.49242,'","b'3,'","b'0.291,'","b'-0.496,'","b'9.981,'","b'4,'","b'-0.000,'","b'0.001,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.49454,'","b'3,'","b'0.289,'","b'-0.490,'","b'9.980,'","b'4,'","b'0.000,'","b'-0.000,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.49734,'","b'3,'","b'0.278,'","b'-0.488,'","b'9.979,'","b'4,'","b'-0.000,'","b'0.000,'","b'0.000,'","b'5,'","b'16.375,'","b'2.000,-47.938,'","b'81,'","b'268.470,'","b'2.750,'","b'1.550,'","b'82,'","b'0.019,'","b'0.001,'","b'0.191,'","b'83,'","b'0.265,'","b'-0.471,'","b'9.792,'","b'84,'","b'-0.007,'","b'-0.027,'","b'0.716,'","b'86,'",b'32'
0,"b'173378.49934,'","b'3,'","b'0.276,'","b'-0.486,'","b'9.982,'","b'4,'","b'-0.000,'","b'0.001,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.50085,'","b'3,'","b'0.275,'","b'-0.488,'","b'9.988,'","b'4,'","b'-0.000,'","b'0.001,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.50223,'","b'3,'","b'0.280,'","b'-0.489,'","b'9.995,'","b'4,'","b'-0.001,'","b'0.001,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.50458,'","b'3,'","b'0.290,'","b'-0.488,'","b'9.988,'","b'4,'","b'-0.002,'","b'-0.000,'","b'0.000,'","b'81,'","b'268.470,'","b'2.750,'","b'1.540,'","b'82,'","b'-0.000,'","b'0.001,'","b'0.182,'","b'83,'","b'0.265,'","b'-0.471,'","b'9.792,'","b'84,'","b'-0.007,'","b'-0.027,'","b'0.716,'","b'86,'",b'32',,,
0,"b'173378.50734,'","b'3,'","b'0.298,'","b'-0.487,'","b'9.980,'","b'4,'","b'-0.001,'","b'-0.001,'","b'0.000,'","b'5,'","b'16.500,'","b'2.000,-47.938,'","b'86,'",b'32',,,,,,,,,,,,,,,,
0,"b'173378.50888,'","b'3,'","b'0.293,'","b'-0.488,'","b'9.980,'","b'4,'","b'-0.001,'","b'0.000,'","b'0.001,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.51049,'","b'3,'","b'0.288,'","b'-0.489,'","b'9.986,'","b'4,'","b'-0.001,'","b'0.002,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.51258,'","b'3,'","b'0.287,'","b'-0.495,'","b'9.972,'","b'4,'","b'-0.002,'","b'0.001,'","b'-0.000,'","b'81,'","b'268.470,'","b'2.750,'","b'1.550,'","b'82,'","b'0.029,'","b'0.000,'","b'0.182,'","b'83,'","b'0.265,'","b'-0.471,'","b'9.792,'","b'84,'","b'-0.007,'","b'-0.027,'","b'0.716,'","b'86,'",b'32',,,
0,"b'173378.51437,'","b'3,'","b'0.277,'","b'-0.503,'","b'9.964,'","b'4,'","b'-0.002,'","b'0.001,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
